instructionCount, 29
NONE, 0
ALU, 4
SHIFT, 5
LOAD, 12
STORE, 6
BRANCH, 1
JUMP, 0
OTHER, 1
NONE, 0
add, 0
sub, 0
and, 2
or, 2
not, 0
shl, 4
shr, 1
ldi, 10
ld, 2
st, 6
br, 0
bz, 1
bn, 0
jal, 0
jr, 0
sys, 1
